City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
302,Bagotville,AU,-28.9833,153.4167,59.85,99,100,2.15,overcast clouds
303,Port-Cartier,CA,50.0334,-66.8654,53.82,88,99,1.63,overcast clouds
304,Sinop,TR,41.7711,34.8709,51.37,91,46,1.03,scattered clouds
305,Fort Nelson,CA,58.8053,-122.7002,42.39,75,75,3.44,broken clouds
306,Shellbrook,CA,53.2168,-106.4011,47.43,33,70,9.89,broken clouds
307,Karpathos,GR,35.507,27.2132,69.76,60,0,29.93,clear sky
308,Kruisfontein,ZA,-34.0033,24.7314,54.88,83,84,4.07,broken clouds
309,Gilgit,PK,35.9221,74.3087,65.86,38,24,4.7,few clouds
310,Husavik,IS,66.0449,-17.3389,37.56,98,100,30.18,overcast clouds
311,Maamba,ZM,-17.3667,27.15,76.08,26,0,3.0,clear sky
312,Buin,CL,-33.7333,-70.75,64.72,54,85,7.74,overcast clouds
313,Port Lincoln,AU,-34.7333,135.8667,54.09,90,2,7.65,clear sky
314,Yumen,CN,40.2833,97.2,40.68,59,6,4.25,clear sky
315,Awbari,LY,26.5921,12.7805,74.62,32,2,7.96,clear sky
316,Mzimba,MW,-11.9,33.6,64.87,47,7,9.37,clear sky
317,Serenje,ZM,-13.2325,30.2352,70.63,26,22,11.52,few clouds
318,Koppang,NO,61.5706,11.0555,49.51,83,100,5.73,light rain
319,Alofi,NU,-19.0595,-169.9187,80.49,74,40,11.5,scattered clouds
320,Mulege,MX,26.8833,-111.9833,88.99,30,0,8.63,clear sky
321,Kashary,RU,49.04,41.0056,52.27,68,61,7.76,broken clouds
322,Moron,AR,-34.6534,-58.6198,74.01,58,87,8.59,overcast clouds
323,Illapel,CL,-31.6308,-71.1653,61.03,60,55,7.05,broken clouds
324,Haines Junction,CA,60.7522,-137.5108,46.35,66,100,1.14,overcast clouds
325,Sabang,ID,5.8933,95.3214,78.8,82,100,16.67,light rain
326,Dondo,MZ,-19.6094,34.7431,74.71,95,0,5.21,clear sky
327,Nanhai,CN,30.1282,111.7784,48.78,79,100,12.41,overcast clouds
328,Tripoli,LY,32.8752,13.1875,74.44,59,3,14.25,clear sky
329,Ugoofaaru,MV,5.6667,73.0,81.43,78,100,18.43,overcast clouds
330,Quatre Cocos,MU,-20.2078,57.7625,71.71,68,72,13.38,broken clouds
331,Mareeba,AU,-17.0,145.4333,69.44,93,93,4.05,overcast clouds
332,Atar,MR,20.5169,-13.0499,96.55,14,44,12.62,scattered clouds
333,Mount Gambier,AU,-37.8333,140.7667,57.11,94,100,12.66,overcast clouds
334,Kyra,RU,49.5776,111.9753,22.19,76,27,3.18,scattered clouds
335,Georgetown,MY,5.4112,100.3354,77.9,97,40,5.01,light rain
336,Sol-Iletsk,RU,51.1631,54.9918,57.65,20,100,15.17,overcast clouds
337,Svetlyy,RU,54.675,20.1347,51.96,75,84,13.58,broken clouds
338,Poum,NC,-20.2333,164.0167,72.9,65,61,9.44,broken clouds
339,Iskateley,RU,67.6803,53.1512,43.05,97,100,6.38,overcast clouds
340,Vostok,RU,46.4856,135.8833,24.62,82,22,4.97,few clouds
341,Teguise,ES,29.0605,-13.564,70.02,78,20,17.27,few clouds
